Athlete,Event,Time,Placement,Meet,Date
Batlanki Rahul,LJ,6.88mw,5th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cashman Ryan,4x400,3:30.40,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cashman Ryan,PV,3.75m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cashman Ryan,DT,27.69m,10th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Cashman Ryan,100,10.83w,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cashman Ryan,LJ,7.00m,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Cashman Ryan,Hep,4693,7th ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,1000,2:48.63,4th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,60,7.20,5th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,LJ,6.60m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,SP,10.65m,8th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,HJ,1.76m,6th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,60H,9.15,10th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,PV,3.75m,8th,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Cashman Ryan,SP,9.60m,10th  (F),14th Giegengack Invitational,Feb 15  2020
Cashman Ryan,60H,9.32,7th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,60H,9.44,8th  (P),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,4x400,3:30.78,5th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,LJ,6.59m,4th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Cashman Ryan,Hep,4399,10th ,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,1000,2:51.39,6th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,60,7.26,2nd,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,LJ,6.04m,11th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,SP,9.60m,10th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,HJ,1.73m,8th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,60H,9.31,12th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,PV,3.76m,8th,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Cashman Ryan,60H,9.46,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,60H,9.62,5th  (P),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,4x400,3:30.76,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Cashman Ryan,TJ,13.55m,2nd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
