Athlete,Event,Time,Placement,Meet,Date
Brady-Steen Tennison,HT,43.96m,4th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Brady-Steen Tennison,HT,43.24m,6th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Brady-Steen Tennison,WT,14.38m,16th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Brady-Steen Tennison,WT,14.10m,7th  (F),14th Giegengack Invitational,Feb 15  2020
Brady-Steen Tennison,WT,14.52m,6th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Brady-Steen Tennison,WT,13.11m,10th  (F),UNH vs Maine vs Vermont vs Dartmouth,Jan 25  2020
Brady-Steen Tennison,WT,13.91m,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Brady-Steen Tennison,WT,14.47m,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Brady-Steen Tennison,WT,13.99m,6th  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Brady-Steen Tennison,SP,11.16m,12th  (F),Crimson Opener,Dec 7  2019
Brady-Steen Tennison,WT,14.40m,8th  (F),Crimson Opener,Dec 7  2019
Brunet Brooke,PV,NH, ,Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Brunet Brooke,PV,3.60m,6th  (F),14th Giegengack Invitational,Feb 15  2020
Brunet Brooke,PV,3.65m,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Brunet Brooke,PV,3.70m,5th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Brunet Brooke,PV,3.55m,6th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Brunet Brooke,PV,3.55m,2nd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Brunet Brooke,PV,3.81m,2nd  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Brunet Brooke,PV,3.60m,9th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Brunet Brooke,PV,3.72m,1st  (F),2019 UNH Pre-Conference Invitational,Apr 27  2019
Brunet Brooke,PV,3.72m,4th  (F),Virginia Challenge,Apr 19-20  2019
Brunet Brooke,PV,NH, ,2019 Dartmouth Outdoor Invitational,Apr 12  2019
Brunet Brooke,PV,3.85m,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Brunet Brooke,PV,NH, ,University of MA Minuteman Invitational,Apr 6  2019
Brunet Brooke,PV,3.50m,3rd  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Brunet Brooke,PV,3.70m,5th  (F),Yellow Jacket Invitational,Mar 15-16  2019
